target,Prevotella,Faecalibacterium,Klebsiella,Roseburia,Bifidobacterium,Enterobacter,Clostridium,Oscillibacter,Azospirillum,Akkermansia,Ruminococcus,Subdoligranulum,Bilophila,Blautia,Lachnoclostridium,Actinomyces,Desulfovibrio,Coprococcus,Butyricicoccus,Anaerotruncus,Streptococcus,Eggerthella,Acidaminococcus,Butyrivibrio,Flavonifractor,Pyramidobacter,Veillonella,Acidiphilium,Dorea,Ruminiclostridium,Intestinimonas,Peptoclostridium,Coprobacillus,Porphyromonas,Pseudoflavonifractor,Paenibacillus,Holdemania,Tyzzerella,Marvinbryantia,Enterococcus,Oribacterium,Treponema,Robinsoniella
hyper,0.552945533,0.016997638,2.99e-6,0.007470278,0.001917892,8.52e-7,0.013094373,0.003887786,1.00094e-4,9.11e-5,0.00959252,0.002345113,0.001549494,0.001943096,0.001948087,2.73e-5,3.62e-5,6.28334e-4,1.46156e-4,5.15077e-4,1.25628e-4,1.97327e-4,1.76773e-4,5.32961e-4,7.02e-5,8.71e-6,1.28388e-4,6.77e-6,9.94193e-4,4.94308e-4,1.33388e-4,2.72729e-4,1.01716e-4,0.001229677,1.14131e-4,1.24496e-4,1.02923e-4,1.04919e-4,8.5e-5,1.00783e-4,1.43039e-4,6.19e-5,6.6e-5
hyper,0.216817026,0.285001221,5.93e-5,0.002360185,5.09099e-4,8.65e-5,0.014364794,0.032654162,3.44e-6,4.88e-6,0.012821571,0.007960717,0.011882852,0.001669767,0.002475852,2.01e-5,2.33735e-4,3.12288e-4,0.001412608,8.60256e-4,6.87e-5,1.51688e-4,2.6038e-4,3.67641e-4,5.28431e-4,9.31e-5,3e-5,2.85e-5,2.40056e-4,8.7575e-4,6.62427e-4,4.66358e-4,3.77e-5,1.44083e-4,5.467e-4,3.03486e-4,6.01691e-4,8.65e-5,1.21484e-4,6.67e-5,1.35662e-4,1.34727e-4,9.3e-5
control,0.297925476,0.004433157,0.005131146,0.007511091,2.10947e-4,1.38e-5,0.038461433,8.90462e-4,2.32e-5,3.91e-7,0.001286894,6.16036e-4,0.001753341,0.002723388,0.00373012,8.76e-5,4.47e-5,3.69418e-4,1.49846e-4,1.65025e-4,3.17e-5,8.13e-5,2.03e-5,2.48859e-4,1.38377e-4,7.72e-6,6.35e-5,1.84e-7,4.40361e-4,1.70612e-4,1.00676e-4,3.69181e-4,2.06e-5,4.71421e-4,1.25527e-4,8.77e-5,5.8e-5,2.41914e-4,1.14575e-4,5.99e-5,8.45e-5,6.8e-5,8.33e-5
control,0.005788619,0.018815789,4.39e-6,0.00506672,0.011450749,2.8e-6,0.028618049,0.001151345,1.12e-5,4.92e-7,0.003026822,0.002700141,0.002882284,0.005492044,0.006487739,3.63023e-4,2.6302e-4,4.20664e-4,1.16203e-4,3.48961e-4,3.44e-5,5.27e-5,7.48e-5,1.88456e-4,9.4e-5,8.93e-6,4.28e-5,4.13e-7,5.23463e-4,2.97778e-4,6.96e-5,2.84295e-4,2.89e-5,0.001071442,7e-5,8e-5,3.11e-5,2.51998e-4,9.47e-5,4.86e-5,2.32472e-4,5.7e-5,7.34e-5
control,0.277107698,0.111401829,3.73e-6,0.008210504,1.62713e-4,6.66e-7,0.025220322,0.011259685,2.65e-6,3.85e-6,0.005182118,0.001794107,1.54e-5,0.001591584,0.003045145,1.13103e-4,1.6048e-4,5.74364e-4,3.40602e-4,6.90903e-4,1.6937e-4,1.30947e-4,1.66959e-4,8.02379e-4,3.83188e-4,6.11e-5,2.21067e-4,5.25e-6,8.10708e-4,8.59133e-4,8.69394e-4,4.39082e-4,8.55e-5,3.03356e-4,4.48167e-4,5.00436e-4,4.37542e-4,3.79439e-4,1.92876e-4,1.31083e-4,3.44604e-4,1.80005e-4,5.57e-5
hyper,0.005176639,4.45e-5,4.55764e-4,3.37839e-4,8.58e-5,6.46e-5,0.001865854,1.21247e-4,4.14e-7,2.04e-7,0.00150863,2.94e-5,0.002920596,0.009719785,0.004426664,7.10582e-4,3.32e-5,8.8558e-4,4.48e-5,3.71e-5,4.45e-5,2.22866e-4,2.42e-5,3.27e-5,9.93052e-4,1.55e-6,2.49629e-4,1.09e-6,3.42732e-4,5.49e-5,5.99e-5,1.80856e-4,1.25543e-4,2.41849e-4,1.09166e-4,1.31138e-4,1.72e-5,0.001312693,2.92e-5,8.19e-5,1.52e-5,5.19e-6,2.53e-5
control,0.25739336,0.131850996,8.28783e-4,0.020146458,5.76398e-4,2.72121e-4,0.019729727,0.028316164,3.97e-6,3.39e-5,0.009503619,0.008089875,9.63177e-4,0.001919961,0.003099638,2.69e-5,0.00237318,7.1936e-4,9.95264e-4,0.001364298,1.4978e-4,1.32362e-4,1.06509e-4,8.90603e-4,2.72455e-4,9.71e-5,3.74e-5,1.11468e-4,6.78385e-4,0.001191687,7.87831e-4,4.9419e-4,7.59e-5,3.56566e-4,8.4766e-4,2.95655e-4,3.84992e-4,3.30366e-4,2.33001e-4,1.35648e-4,2.21957e-4,1.78247e-4,1.29646e-4
control,0.00214518,0.105959842,0.002690387,0.008454939,0.003812743,2.76e-5,0.04753084,0.027397853,2.67e-5,0.023188237,0.003993349,0.02310633,0.024971799,0.003992535,0.006676209,1.1712e-4,4.79825e-4,5.36134e-4,7.03873e-4,0.002498685,1.7368e-4,0.001221064,1.30043e-4,0.001012115,0.001521834,1.47613e-4,1.45533e-4,6.93e-5,9.25603e-4,0.001966137,0.004156175,9.18252e-4,1.19988e-4,3.06367e-4,0.00251173,7.87887e-4,9.10007e-4,2.63969e-4,5.44734e-4,9.19e-5,2.56294e-4,2.49424e-4,2.29476e-4
hyper,0.016264809,0.054974389,0.022726552,0.002799609,0.003220337,0.00748609,0.02209384,0.048846618,5.04e-6,4.46e-6,0.039082706,0.013219473,0.025973334,0.001183743,0.002622643,1.53698e-4,0.028480965,5.82187e-4,7.32698e-4,0.004882303,2.20448e-4,7.64006e-4,4.83484e-4,8.08771e-4,0.001582652,2.91822e-4,9.91e-5,1.48632e-4,5.16331e-4,0.002448233,0.00229629,5.60382e-4,3.31e-5,3.75e-5,0.001830671,8.97724e-4,4.26541e-4,1.23099e-4,3.82708e-4,1.57295e-4,3.80577e-4,2.95394e-4,3.89417e-4
hyper,0.001945541,0.113091069,0.001508415,0.024142841,0.014741719,1.19172e-4,0.037129976,0.018032443,1.12e-5,2.47e-6,0.019846677,0.009505335,0.021015074,0.007967804,0.010723388,3.19186e-4,3.81209e-4,0.001407304,5.27864e-4,7.89529e-4,6.9e-5,0.00051308600000000005,4.53444e-4,3.62625e-4,0.001003551,1.25209e-4,8.69e-5,7.44e-6,6.42606e-4,0.001111482,9.26118e-4,7.88994e-4,4.32e-5,3.39796e-4,6.21534e-4,2.07187e-4,9.83121e-4,5.69017e-4,2.33874e-4,6.91e-5,1.99292e-4,1.47322e-4,1.10441e-4
