Date,MEK,JOB
8/1/22,151,209.4
8/2/22,151.2,210
8/3/22,150.7,209.4
8/4/22,151.2,211.4
8/5/22,150.7,208.9
8/6/22,149.9,208.7
8/7/22,149.9,210
8/8/22,150.7,209.6
8/9/22,150.7,208.7
8/10/22,150.1,207.4
8/11/22,149.4,207.4
8/12/22,149.6,205.6
8/13/22,150.3,208.5
8/14/22,,207.4
8/15/22,,
8/16/22,,
8/17/22,,
8/18/22,,
8/19/22,,
8/20/22,,
8/21/22,,
8/22/22,,
8/23/22,,
8/24/22,,
8/25/22,,
8/26/22,,
8/27/22,,
8/28/22,,
8/29/22,,
8/30/22,,
8/31/22,,
9/1/22,,
9/2/22,,
9/3/22,,
9/4/22,,
9/5/22,149.4,207
9/6/22,149.9,207.2
9/7/22,148.8,208.1
9/8/22,149.2,208.1
9/9/22,149,208.5
9/10/22,148.5,204.8
9/11/22,148.3,206.7
9/12/22,150.7,208.2
9/13/22,149.9,208.3
9/14/22,149.9,206.3
9/15/22,150.3,207.8
9/16/22,150.1,206.7
9/17/22,149.2,206.1
9/18/22,149.9,205.9
9/19/22,151,205.6
9/20/22,149.2,206.1
9/21/22,149.4,206.3
9/22/22,150.2,205.6
9/23/22,149.4,206.1
9/24/22,150.3,203.9
9/25/22,149.4,205
