Date,MEK,JOB
2022-08-01,151.0,209.4
2022-08-02,151.2,210.0
2022-08-03,150.7,209.4
2022-08-04,151.2,211.4
2022-08-05,150.7,208.9
2022-08-06,149.9,208.7
2022-08-07,149.9,210.0
2022-08-08,150.7,209.6
2022-08-09,150.7,208.7
2022-08-10,150.1,207.4
2022-08-11,149.4,207.4
2022-08-12,149.6,205.6
2022-08-13,150.3,208.5
2022-08-14,,207.4
2022-08-15,,
2022-08-16,,
2022-08-17,,
2022-08-18,,
2022-08-19,,
2022-08-20,,
2022-08-21,,
2022-08-22,,
2022-08-23,,
2022-08-24,,
2022-08-25,,
2022-08-26,,
2022-08-27,,
2022-08-28,,
2022-08-29,,
2022-08-30,,
2022-08-31,,
2022-09-01,,
2022-09-02,,
2022-09-03,,
2022-09-04,,
2022-09-05,149.4,207.0
2022-09-06,149.9,207.2
2022-09-07,148.8,208.1
2022-09-08,149.2,208.1
2022-09-09,149.0,208.5
2022-09-10,148.5,204.8
2022-09-11,148.3,206.7
2022-09-12,150.7,208.2
2022-09-13,149.9,208.3
2022-09-14,149.9,206.3
2022-09-15,150.3,207.8
2022-09-16,150.1,206.7
2022-09-17,149.2,206.1
2022-09-18,149.9,205.9
2022-09-19,151.0,205.6
2022-09-20,149.2,206.1
2022-09-21,149.4,206.3
2022-09-22,150.2,205.6
2022-09-23,149.4,206.1
2022-09-24,150.3,203.9
2022-09-25,149.4,205.0
