target,BCAA_biosynthesis,BCAA_transport,Cellulose_binding,Fatty_acid_utilization,Fatty_acid_utilization_acyl,Glycan_utilization,LPS_biosynthesis,LPS_transport,Phenylalanine_biosynthesis,PTS,Purine_Metabolism,Secretion_System_typeII,Secretion_System_typeIII,Secretion_System_typeIV
hyper,0.05445916114790287,0.037240618101545254,7.50551876379691e-4,0,0,0.6308388520971302,0.009624724061810155,2.207505518763797e-5,0.06317880794701987,0.2034878587196468,0,2.207505518763797e-5,0,3.752759381898455e-4
hyper,0.048097959737462476,0.09173549514102064,8.988687821175991e-4,0.002340450791174126,0,0.247273714024049,0.006122483591404779,1.6959788341841495e-5,0.057374963960449776,0.5441548089479843,0,0.001679019045842308,0,3.052761901531469e-4
control,0.06419094018865969,0.031123665388203586,2.591479216336685e-5,0.004612833005079299,0,0.4594951798486576,0.010961957085104177,4.664662589406033e-4,0.13356483880999273,0.28796517051933246,0,0.007256141805742718,0,3.3689229812376904e-4
control,0.027031550757385555,0.0761151560800067,6.276675872457946e-5,0,2.0922252908193154e-5,0.4883253828772282,0.011486316846598042,2.9291154071470416e-4,0.07266298435015482,0.3238555527659218,0,4.184450581638631e-5,0,1.0461126454096577e-4
control,0.06904307661411788,0.07145295712420925,2.4098805100913746e-4,4.0164675168189576e-5,0,0.3916457475650166,0.015101917863239282,3.213174013455166e-4,0.10617531880710915,0.3449944773571644,0,4.4181142685008535e-4,0,5.422231147705593e-4
hyper,0.03807183136817346,0.03431742106691595,0,0.011142607279635716,0,0.3747022104279123,0.024169958686408734,7.991315099062151e-4,0.06917764844244745,0.4343807484695878,0,0.012680558487379753,0,5.578842616326407e-4
control,0.051554783741249256,0.10786707910493659,2.532515692552595e-4,0.003201823411298638,0,0.3135073533402073,0.014797127403628733,4.522349450986777e-4,0.07619254355022521,0.42804942023480036,0,0.0040158463124762575,0,1.0853638682368264e-4
control,0.03919289912923383,0.09925386960402877,0,3.0316810671517357e-4,0,0.4007208663870783,0.013642564802182811,5.052801778586226e-5,0.06277264076263621,0.38325501490576525,0,7.579202667879339e-4,0,5.052801778586226e-5
hyper,0.033008241159285474,0.1408700454935248,5.8138689844624354e-5,0.004447609773113763,1.4534672461156089e-5,0.27691457972994576,0.00861906076946556,1.4534672461156089e-4,0.10309443176698013,0.42622926992340227,0,0.006526067935059083,0,7.267336230578044e-5
hyper,0.04461426584846204,0.09391066940535575,0.003253256445913017,9.568401311508873e-4,1.2757868415345165e-5,0.37898523914624344,0.011903091231517038,6.378934207672581e-5,0.07010448694232167,0.39409055535001214,0,0.0011992396310424455,0,9.058086574895067e-4
control,0.04979341031888971,0.08655577921389977,0,3.575590634601123e-4,0,0.2874907299502066,0.008091429176819579,1.7215806759190592e-4,0.0667708443691069,0.5001986439241445,0,3.9728784828901365e-4,0,1.7215806759190592e-4
hyper,0.018615696495800752,0.031983782218360846,1.5059368664929046e-4,1.1584129742253114e-5,0,0.7071763683753258,0.006301766579785694,1.1584129742253114e-5,0.09516362583260933,0.14037648421662322,0,1.737619461337967e-4,0,3.475238922675934e-5
control,0.06538346634800052,0.0601340104989117,1.4937475993342153e-4,3.8410652554308393e-4,0,0.28987239127651404,0.016068456318552346,2.133925141906022e-5,0.08429004310528787,0.48312065212752336,0,5.121420340574453e-4,0,6.401775425718066e-5
control,0.061967213114754095,0.054310511089681775,4.8216007714561236e-4,9.064609450337512e-4,0,0.47494696239151396,0.008621022179363549,2.3143683702989392e-4,0.07940212150433944,0.31728061716489875,1.9286403085824492e-5,0.0013307618129218901,0,5.014464802314369e-4
hyper,0.056893910760110605,0.05329328214207563,4.973243947562116e-4,0.0013527223537368955,0,0.3910163321331238,0.01412401281107641,1.3925083053173924e-4,0.09081143448248423,0.3895243589488552,0,0.0020091905548150946,0,3.3818058843422386e-4
control,0.05424590693983128,0.05183563093383498,0,2.2045207371917345e-4,1.4696804914611564e-5,0.2850886217336351,0.0064225037476852535,8.818082948766937e-5,0.08140560242203344,0.5199729578789571,0,2.792392933776197e-4,0,4.2620734252373535e-4
control,0.037933547593161206,0.07066990047670821,0,0.0017204506624929807,1.1947574045090145e-5,0.19768456015006153,0.0090921038483136,2.150563328116226e-4,0.06614176991361904,0.6133048184566123,0,0.002640413863964922,0,5.854311282094171e-4
hyper,0.05081534704875242,0.05578321030621123,0,0.0012770495944315024,0,0.3251424401470712,0.008925313648993797,1.8243565634735748e-4,0.06998512447725168,0.4864155603581352,0,0.0011086474501108647,0,3.6487131269471497e-4
control,0.04457578931617537,0.09967080652401616,2.3941343707915608e-4,0.001002543767768966,0,0.42569205446655695,0.011521771659434386,2.543767768966033e-4,0.09178512644022145,0.3231782133772258,0,0.001705820739188987,0,3.740834954361814e-4
control,0.023322114432785587,0.05713720055434567,1.0558965221408302e-4,0.0033128753382168545,0,0.45280802481356824,0.0036758397677027653,3.9596119580281134e-5,0.11844519237114763,0.33896918102026,0,0.001333069359202798,0,8.513165709760443e-4
hyper,0.023448108958414565,0.04622396708659935,0.001089046344972236,8.067009962757304e-5,0,0.6159834357395432,0.005754467106766877,1.3445016604595507e-5,0.12464874894120494,0.18243543030775644,0,1.6134019925514607e-4,0,1.6134019925514607e-4
control,0.05146951522050025,0.06340659019934039,1.7511601435951318e-4,9.339520765840703e-4,0,0.35119516679800367,0.011513877944137992,1.1674400957300879e-4,0.0505501561451128,0.4695881855062312,0,9.193590753874441e-4,0,1.313370107696349e-4
hyper,0.06594423987375066,0.030278800631246713,9.468700683850605e-4,0.001073119410836402,0,0.622304050499737,0.009363492898474487,3.366649132035771e-4,0.08267227774855339,0.18628090478695422,0,5.470804839558127e-4,0,2.524986849026828e-4
control,0.03955336866010598,0.05424732345625608,2.1628636314480372e-4,4.8664431707580837e-4,0,0.6259868065318481,0.006488590894344112,8.11073861793014e-5,0.13550340651021953,0.1363279982697091,0,0.0010003244295447172,0,1.0814318157240186e-4
control,0.060193917733876036,0.010738277242794268,0,9.927529038022436e-5,0,0.6876964823455441,0.0015718587643535524,3.309176346007479e-5,0.09280585062377975,0.14624904861180052,0,5.625599788212713e-4,0,4.963764519011218e-5
hyper,0.031196503543318384,0.05200692405535419,9.467976243986879e-4,0.007325727073630252,9.563612367663515e-6,0.2978969616403508,0.01399156489389172,8.320342759867257e-4,0.058586689364306686,0.5314499392710614,9.563612367663515e-6,0.005527767948509511,0,2.1996308445626083e-4
control,0.04368265668779029,0.037909701197841254,0,0.0025197916470787343,1.880441527670697e-5,0.5050489855017958,0.010041557757761523,9.402207638353485e-5,0.1006036217303823,0.296733673066436,0,0.0029710976137197016,0,3.760883055341394e-4
hyper,0.035677063946996206,0.08055720985632397,7.072135785007072e-4,9.305441822377726e-5,0,0.5754485222958386,0.0032010719868979377,9.305441822377726e-5,0.10263902330082632,0.20147212089630015,0,1.1166530186853272e-4,0,0
control,0.02181826805639548,0.06581053680054072,3.3201712259732253e-4,0.014857766236230183,0,0.4167526353859106,0.005620575575397531,6.877497539515967e-4,0.08575527966513702,0.37443231000913046,0,0.013292542658271376,0,6.403187364376935e-4
hyper,0.024970496727818904,0.07969906662375281,0,2.68211565282695e-5,0,0.5245279476451025,0.002507778135393198,2.14569252226156e-4,0.17172245467224548,0.19618334942602725,1.341057826413475e-5,1.07284626113078e-4,0,2.68211565282695e-5
control,0.04915658718665225,0.053195178167132394,4.2833540702062127e-4,0.004487323311644604,0,0.4277031023721623,0.010035286678768842,2.8555693801374753e-4,0.08030269035429458,0.3691027393069125,0,0.004915658718665225,0,3.875415587329431e-4
hyper,0.012864523145945212,0.05169600978859357,8.497043029025899e-6,0.022967507307457006,8.497043029025899e-6,0.5217184419821902,0.004418462375093467,1.0196451634831079e-4,0.02059683230235878,0.3312062402284005,0,0.03438753313846781,0,2.5491129087077697e-5
control,0.04688213207686078,0.14463667820069204,0,9.129058381800781e-4,0,0.24127217845836707,0.005477435029080468,1.9141574026356476e-4,0.08098358241920046,0.47873076639917544,0,8.981815504674961e-4,0,1.4724287712581903e-5
control,0.035316548172698276,0.08797063487820958,0,0.0031895368934979776,0,0.41866680921580157,0.006771083907984534,8.909320931558596e-5,0.06329181589779227,0.37978653267047985,0,0.004436841823916181,0,4.811033303041642e-4
control,0.0321139488860766,0.0713539499052974,0,0.0049177403874737765,0,0.1857869658645965,0.0059624417133101746,1.783636409964582e-4,0.037294987981687996,0.6595462768713318,0,0.002649974094804522,0,1.953506544246923e-4
hyper,0.02249020123470704,0.06752069323916501,0.0028050139624578936,0.021062649485956146,0,0.31118123646017254,0.014926681443079504,6.135968042876642e-4,0.028964273639129946,0.5147701516460673,0,0.011858697421641183,0,0.0038068046633357128
hyper,0.03178128770428869,0.057269386859712626,1.508171547658221e-4,2.605023582318745e-4,0,0.693937150378414,0.004442250740375123,5.4842601733026214e-5,0.09531644181199957,0.11612920916968301,0,5.21004716463749e-4,0,1.3710650433256555e-4
hyper,0.010548681683067381,0.06932297423460354,0,0.054680373871892,0,0.34152295921104875,0.002537907648062498,1.931599901273783e-4,0.038202753602970374,0.4707738203826714,0,0.012195907154431413,0,2.1462221125264254e-05
